,farmer_id,started_time,ended_time,uses_chemicals,herbicides,other_herbicides,fertilizers,other_fertilizers,insecticides,other_insecticides,durationminutes,durationquantile,nobannedpesticides
0,4562,2017-03-17 13:03:00,2017-03-17 13:31:00,1,['paraquat'],,,,"['malathion', 'terbufos']",,28.0,False,F
1,5474,2017-03-01 09:04:00,2017-03-01 09:48:00,1,['other'],['paraquat'],['npk'],,['malathion'],,44.0,False,F
2,4574,2017-03-23 19:42:00,2017-03-23 21:15:00,1,"['glifosato', 'preglone']",,['npk'],,"['malathion', 'vidate_l']",,93.0,False,F
3,4563,2017-03-24 07:46:00,2017-03-24 08:47:00,1,"['glifosato', 'hedonal', 'paraquat', 'preglone']",,['npk'],,['malathion'],,61.0,False,F
4,4554,2017-03-30 07:08:00,2017-03-30 07:19:00,1,['gramaxon'],"['rutao', 'gramaxon']","['urea', 'zinc', 'boron', 'lime']",,"['endosulfan', 'malathion']",,11.0,False,F
5,3650,2017-03-18 03:45:00,2017-03-18 05:15:00,1,"['glifosato', 'paraquat']",,"['npk', 'urea', 'zinc', 'boron', 'compost']",,['other'],,90.0,False,F
6,4560,2017-03-19 08:54:00,2017-03-19 10:34:00,0,['glifosato'],,,,,,100.0,False,P
7,5973,2017-03-30 19:13:00,2017-03-30 19:45:00,1,"['gramaxon', 'paraquat']",,['npk'],,"['malathion', 'terbufos']",,32.0,False,F
8,4571,2017-03-27 02:37:00,2017-03-27 03:33:00,1,['preglone'],,"['npk', 'urea']",,['malathion'],"['piretroide', 'lambda', 'cialotrina']",56.0,False,F
9,4551,2017-03-11 17:21:00,2017-03-11 17:31:00,1,['glifosato'],,"['npk', 'urea', 'zinc', 'boron', 'lime', 'sulfate', 'compost']",,"['malathion', 'vidate_l']",,10.0,False,P
10,4687,2017-03-20 08:01:00,2017-03-20 09:15:00,1,['paraquat'],,"['npk', 'urea', 'sulfate']",,['endosulfan'],,74.0,False,F
11,4566,2017-03-07 22:02:00,2017-03-07 22:23:00,1,['gramaxon'],,"['npk', 'urea', 'other']",,['malathion'],,21.0,False,F
12,4203,2017-03-05 23:25:00,2017-03-05 23:29:00,1,['glifosato'],,"['urea', 'lime']",,['malathion'],,4.0,True,P
13,9821,2017-03-19 09:01:00,2017-03-19 10:05:00,1,['gramaxon'],"['rutao', 'gramaxon']","['urea', 'zinc', 'boron', 'lime']",,"['endosulfan', 'malathion']",,64.0,False,F
14,7341,2017-03-18 07:10:00,2017-03-18 07:18:00,0,,,,,,,8.0,True,NA
15,1249,2017-03-11 23:30:00,2017-03-12 00:42:00,1,"['glifosato', 'gramaxon']",,"['npk', 'lime']",,['malathion'],,72.0,False,F
16,7859,2017-03-29 05:24:00,2017-03-29 05:35:00,1,['gramaxon'],,"['npk', 'urea', 'other']","['18', '46', '0', '20', '20', '0', '18', '6', '12']",['malathion'],,11.0,False,F
17,4568,2017-03-30 20:15:00,2017-03-30 20:17:00,1,['glifosato'],,"['npk', 'sulfate']",,['endosulfan'],,2.0,True,F
18,4577,2017-03-24 17:23:00,2017-03-24 18:10:00,1,"['gramaxon', 'paraquat']",,"['npk', 'urea', 'sulfate']",,,['anaconda'],47.0,False,F
19,4572,2017-03-16 03:54:00,2017-03-16 03:58:00,0,,['endosulfan'],,,,,4.0,True,F
20,4567,2017-03-04 14:16:00,2017-03-04 15:53:00,1,"['gramaxon', 'paraquat']",,"['npk', 'urea']",,"['malathion', 'terbufos']",,97.0,False,F
21,9457,2017-03-24 19:11:00,2017-03-24 19:35:00,0,,,,,,,24.0,False,NA
22,4550,2017-03-16 16:11:00,2017-03-16 17:24:00,1,['glifosato'],,['npk'],,"['malathion', 'terbufos']",,73.0,False,F
23,4546,2017-03-20 10:57:00,2017-03-20 12:02:00,1,['paraquat'],"['crop_hygiene', 'correct_nutrition', 'hand_weeding']","['npk', 'zinc', 'boron']",,"['malathion', 'terbufos']",,65.0,False,F
24,4663,2017-03-16 10:26:00,2017-03-16 10:26:00,1,['paraquat'],,"['npk', 'urea']",,"['malathion', 'terbufos']",,0.0,True,F
25,4861,2017-03-20 03:35:00,2017-03-20 04:18:00,0,,,,,,,43.0,False,NA
26,4558,2017-03-13 04:49:00,2017-03-13 05:32:00,1,"['glifosato', 'preglone']",['malation'],"['lime', 'magnesium', 'compost']",,,['tambo'],43.0,False,F
27,2661,2017-03-11 19:52:00,2017-03-11 20:10:00,1,"['gramaxon', 'paraquat']",,['npk'],,"['malathion', 'vidate_l']",,18.0,False,F
